ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,CPI came down,CPI came down_lower,CPI came down_upper,FOMC Meeting,FOMC Meeting_lower,FOMC Meeting_upper,German Government sell Bitcoin,German Government sell Bitcoin_lower,German Government sell Bitcoin_upper,Held steady,Held steady_lower,Held steady_upper,Raise +25 bps,Raise +25 bps_lower,Raise +25 bps_upper,eth lauch date,eth lauch date_lower,eth lauch date_upper,halved,halved_lower,halved_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,y_moving_avg_7,y_moving_avg_14,y_moving_avg_28,y_moving_avg_90
2016-06-12T00:00:00Z,448.8668420849815,-5699.525375669987,6351.833270095254,448.8668420849815,448.8668420849815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021162709258924085,0.021162709258924085,0.021162709258924085,-0.002317222053787581,-0.002317222053787581,-0.002317222053787581,0.023479931312711668,0.023479931312711668,0.023479931312711668,0,0,0,458.3660805599974,462.6891778926977,461.6910258065698,452.5027569236375,451.48673322307457
2016-06-13T00:00:00Z,450.2669597473888,-5540.394636652888,6788.711966245718,450.2669597473888,450.2669597473888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018152644312465577,0.018152644312465577,0.018152644312465577,0.002089829077266056,0.002089829077266056,0.002089829077266056,0.01606281523519952,0.01606281523519952,0.01606281523519952,0,0,0,458.4404957133384,461.7149236293225,461.7840158780653,453.24494034486304,452.0581195397381
2016-06-14T00:00:00Z,451.667077409796,-5753.800394972849,6488.450219257124,451.667077409796,451.667077409796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010845354872657371,0.010845354872657371,0.010845354872657371,0.0027037202939948143,0.0027037202939948143,0.0027037202939948143,0.008141634578662559,0.008141634578662559,0.008141634578662559,0,0,0,456.56556714860125,460.4319400294407,461.59414903210035,453.90942255331726,452.5615829739175
2016-06-15T00:00:00Z,453.0671950722034,-5888.00043068706,7151.916845217556,453.0671950722034,453.0671950722034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00392665534531451,0.00392665534531451,0.00392665534531451,0.004126778613798803,0.004126778613798803,0.004126778613798803,-0.00020012326848429293,-0.00020012326848429293,-0.00020012326848429293,0,0,0,454.84623379552033,458.8593254530987,461.11883695313844,454.479719740065,453.01716549577293
2016-06-16T00:00:00Z,454.4673127346106,-5933.739468632234,6432.958404659611,454.4673127346106,454.4673127346106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00815743185912857,-0.00815743185912857,-0.00815743185912857,0.0007129040000070786,0.0007129040000070786,0.0007129040000070786,-0.008870335859135648,-0.008870335859135648,-0.008870335859135648,0,0,0,450.76002659877673,457.0142176940811,460.35327394544294,454.9330157056901,453.3984445411214
2016-06-17T00:00:00Z,455.867430397018,-5883.566939671535,6689.301214269311,455.867430397018,455.867430397018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0201465021473134,-0.0201465021473134,-0.0201465021473134,-0.0023763408494876944,-0.0023763408494876944,-0.0023763408494876944,-0.017770161297825708,-0.017770161297825708,-0.017770161297825708,0,0,0,446.68329623163424,454.92646025829356,459.3055727332675,455.25562728307506,453.70481294771236
2016-06-18T00:00:00Z,457.26754805942517,-5931.727099637522,6752.077314125253,457.26754805942517,457.26754805942517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03173575041841983,-0.03173575041841983,-0.03173575041841983,-0.004939669081787574,-0.004939669081787574,-0.004939669081787574,-0.026796081336632256,-0.026796081336632256,-0.026796081336632256,0,0,0,442.75581927976845,452.6310741896624,457.9897024396687,455.4363592891567,453.92019145177153
2016-06-19T00:00:00Z,458.6676657218326,-5215.033267349719,6823.825753664251,458.6676657218326,458.6676657218326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03815924721650274,-0.03815924721650274,-0.03815924721650274,-0.0023172220537989816,-0.0023172220537989816,-0.0023172220537989816,-0.03584202516270376,-0.03584202516270376,-0.03584202516270376,0,0,0,441.16525287533693,450.1738130918538,456.4314954922757,455.4730068480065,454.0652708753824
2016-06-20T00:00:00Z,460.06778338423976,-5673.2446964967385,6682.3713144964295,460.06778338423976,460.06778338423976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04271169657061174,-0.04271169657061174,-0.04271169657061174,0.002089829077273013,0.002089829077273013,0.002089829077273013,-0.044801525647884755,-0.044801525647884755,-0.044801525647884755,0,0,0,440.4175078184182,447.5991005354366,454.65701208237954,455.3612828680677,454.16487441957076
2016-06-21T00:00:00Z,461.46790104664717,-6053.774739863564,6674.795006370857,461.46790104664717,461.46790104664717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0508661392768788,-0.0508661392768788,-0.0508661392768788,0.0027037202939948985,0.0027037202939948985,0.0027037202939948985,-0.0535698595708737,-0.0535698595708737,-0.0535698595708737,0,0,0,437.9948105201995,444.9461353028078,452.6890376661243,455.0919336397524,454.1989639211169
2016-06-22T00:00:00Z,462.86801870905435,-5615.232888560028,6132.840577618768,462.86801870905435,462.86801870905435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05791934561791027,-0.05791934561791027,-0.05791934561791027,0.004126778613798211,0.004126778613798211,0.004126778613798211,-0.06204612423170848,-0.06204612423170848,-0.06204612423170848,0,0,0,436.0590059579673,442.26224561172876,450.5607855324137,454.6651006781365,454.19268379926444
2016-06-23T00:00:00Z,464.26813637146176,-5724.785648198659,6642.877697302014,464.26813637146176,464.26813637146176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06942230092612552,-0.06942230092612552,-0.06942230092612552,0.0007129040000050516,0.0007129040000050516,0.0007129040000050516,-0.07013520492613057,-0.07013520492613057,-0.07013520492613057,0,0,0,432.0375740978707,439.5876095401708,448.3009136171259,454.07602305068133,454.1234639179232
2016-06-24T00:00:00Z,465.66825403386895,-5999.584988812787,6887.893250296694,465.66825403386895,465.66825403386895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08012593171590458,-0.08012593171590458,-0.08012593171590458,-0.002376340849479394,-0.002376340849479394,-0.002376340849479394,-0.07774959086642519,-0.07774959086642519,-0.07774959086642519,0,0,0,428.3561513088867,436.9694459797783,445.9479531190359,453.330162130423,453.9949285774854
