ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,CPI came down,CPI came down_lower,CPI came down_upper,FOMC Meeting,FOMC Meeting_lower,FOMC Meeting_upper,German Government sell Bitcoin,German Government sell Bitcoin_lower,German Government sell Bitcoin_upper,Held steady,Held steady_lower,Held steady_upper,Raise +25 bps,Raise +25 bps_lower,Raise +25 bps_upper,eth lauch date,eth lauch date_lower,eth lauch date_upper,halved,halved_lower,halved_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2018-08-06T00:00:00Z,6705.277564944612,852.8620487739581,11014.252813396879,6705.277564944612,6705.277564944612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14114163171559627,-0.14114163171559627,-0.14114163171559627,0.001361897264770165,0.001361897264770165,0.001361897264770165,-0.14250352898036642,-0.14250352898036642,-0.14250352898036642,0,0,0,5758.88374832235
2018-08-07T00:00:00Z,6689.640965203374,887.0815054398071,10653.62876704953,6689.640965203374,6689.640965203374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1441811066161439,-0.1441811066161439,-0.1441811066161439,0.002624772799517918,0.002624772799517918,0.002624772799517918,-0.14680587941566178,-0.14680587941566178,-0.14680587941566178,0,0,0,5725.121127975663
2018-08-08T00:00:00Z,6674.004365462137,832.1576882958174,10566.461822720252,6674.004365462137,6674.004365462137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14662772604632102,-0.14662772604632102,-0.14662772604632102,0.004453392852528512,0.004453392852528512,0.004453392852528512,-0.15108111889884954,-0.15108111889884954,-0.15108111889884954,0,0,0,5695.410281731204
2018-08-09T00:00:00Z,6658.367765720897,590.7160085412652,10475.4667777908,6658.367765720897,6658.367765720897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15389701389882907,-0.15389701389882907,-0.15389701389882907,0.0013669410000009046,0.0013669410000009046,0.0013669410000009046,-0.15526395489882996,-0.15526395489882996,-0.15526395489882996,0,0,0,5633.664849136233
2018-08-10T00:00:00Z,6642.73116597966,399.7589171882343,10475.00984797159,6642.73116597966,6642.73116597966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16305866077308487,-0.16305866077308487,-0.16305866077308487,-0.003767827970529485,-0.003767827970529485,-0.003767827970529485,-0.15929083280255538,-0.15929083280255538,-0.15929083280255538,0,0,0,5559.576318179384
2018-08-11T00:00:00Z,6627.094566238418,274.34289538764494,10432.548978963683,6627.094566238418,6627.094566238418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16781835262238037,-0.16781835262238037,-0.16781835262238037,-0.00471730642263498,-0.00471730642263498,-0.00471730642263498,-0.1631010461997454,-0.1631010461997454,-0.1631010461997454,0,0,0,5514.946473459559
2018-08-12T00:00:00Z,6611.457966497181,736.5445100441651,10020.863927649109,6611.457966497181,6611.457966497181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16795967273533507,-0.16795967273533507,-0.16795967273533507,-0.0013218695236713541,-0.0013218695236713541,-0.0013218695236713541,-0.16663780321166372,-0.16663780321166372,-0.16663780321166372,0,0,0,5500.9996501408905
2018-08-13T00:00:00Z,6595.821366755943,385.7474435314516,10312.813869500578,6595.821366755943,6595.821366755943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1684873337769372,-0.1684873337769372,-0.1684873337769372,0.001361897264771504,0.001361897264771504,0.001361897264771504,-0.1698492310417087,-0.1698492310417087,-0.1698492310417087,0,0,0,5484.50901060228
2018-08-14T00:00:00Z,6580.184767014703,568.7467636922148,10045.032795327716,6580.184767014703,6580.184767014703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17006452864591548,-0.17006452864591548,-0.17006452864591548,0.002624772799519286,0.002624772799519286,0.002624772799519286,-0.17268930144543476,-0.17268930144543476,-0.17268930144543476,0,0,0,5461.128746209314
2018-08-15T00:00:00Z,6564.548167273465,400.78162208170596,10316.889983032464,6564.548167273465,6564.548167273465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17066526776219296,-0.17066526776219296,-0.17066526776219296,0.004453392852528411,0.004453392852528411,0.004453392852528411,-0.17511866061472137,-0.17511866061472137,-0.17511866061472137,0,0,0,5444.207796567926
2018-08-16T00:00:00Z,6548.9115675322255,153.06271428907644,10744.342628530027,6548.9115675322255,6548.9115675322255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17573840705558916,-0.17573840705558916,-0.17573840705558916,0.0013669409999963779,0.0013669409999963779,0.0013669409999963779,-0.17710534805558556,-0.17710534805558556,-0.17710534805558556,0,0,0,5398.016280706191
2018-08-17T00:00:00Z,6533.274967790988,515.701199638621,10476.541581128695,6533.274967790988,6533.274967790988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18239321838647718,-0.18239321838647718,-0.18239321838647718,-0.0037678279705245558,-0.0037678279705245558,-0.0037678279705245558,-0.1786253904159526,-0.1786253904159526,-0.1786253904159526,0,0,0,5341.649919811782
