ds,y,y_moving_avg_7,y_moving_avg_14,y_moving_avg_28,y_moving_avg_90
2023-10-28,34150.46523574947,34228.78441768638,33845.90096260681,31705.841993452712,28799.809595625822
2023-10-27,34291.416666666664,34272.613309546185,33610.696302910415,31502.359139387954,28713.356416376602
2023-10-27,33913.35870790034,34292.54594152081,33298.495979229694,31290.688045049297,28625.50397589131
2023-10-27,33936.86364197531,34321.79447107723,33012.53689809667,31092.509022602164,28540.987490247975
2023-10-26,34259.901597478805,34363.175557937895,32740.939495098435,30903.1031782459,28460.316783114915
2023-10-26,34314.913645462635,34343.143684204886,32441.93580956423,30705.445978335945,28372.623432031818
2023-10-25,34734.57142857143,33953.17655944658,32125.44027991869,30486.158872508324,28282.597540919585
2023-10-25,34457.267478768124,33463.01750752723,31778.74909444356,30249.30020235829,28187.891691327815
2023-10-25,34430.945090489025,32948.77929627464,31424.538098292367,29984.094220973715,28095.90806185474
2023-10-24,34118.09841479525,32304.44601693857,31071.549123220666,29719.16555350985,28004.488007427244
2023-10-24,34226.53125,31703.279325116117,30768.39129994164,29464.931383107567,27919.342469485076
2023-10-24,34119.6784813477,31118.703432258975,30391.139067798784,29210.394552750426,27829.18795559619
2023-10-23,31585.143772154563,30540.727934923583,29991.74455290704,28951.570061970902,27743.972467046926
2023-10-23,31303.45806513594,30297.7040003908,29772.003212902004,28783.195445415808,27687.846178220512
2023-10-23,30857.6,30094.48068135989,29565.78302429862,28623.508395659042,27636.391088607892
2023-10-22,29920.612135136547,29900.2969003101,29394.021975865493,28484.586967087616,27587.546543328284
2023-10-22,29909.93157203807,29838.652229502757,29282.880110868904,28374.058170455643,27550.29118251571
2023-10-22,30134.5,29833.50327476716,29172.481147107646,28260.831039163295,27513.159080447986
2023-10-21,30073.85,29663.57470333859,29065.26686139336,28143.373896306155,27474.503524892432
2023-10-21,29883.976230425054,29442.7611708905,28968.956147107645,28024.34357086479,27435.943319275004
2023-10-21,29880.894831919573,29246.302425413207,28846.877465097958,27924.31917347276,27400.92552782584
2023-10-20,29498.313532651457,29037.085367237345,28719.851310273018,27820.43544466847,27364.19336302673
2023-10-20,29489.099439485155,28887.74705142089,28543.650343655056,27730.307122723556,27332.056486706388
2023-10-20,29873.88888888889,28727.10799223506,28366.78198379904,27658.75745784798,27301.519269771175
2023-10-19,28945,28511.459019448135,28161.471466273502,27573.71521700378,27267.68383767241
2023-10-19,28528.15527286333,28466.959019448135,28029.650037702075,27528.77920509902,27241.168421005743
2023-10-19,28508.76501208403,28495.1511233248,27911.39557103476,27500.854373925333,27221.436092443997
2023-10-18,28416.375424688562,28447.452504782705,27794.387677929615,27468.33350577804,27205.787444530913
2023-10-18,28452.945321936262,28402.617253308686,27681.23376701947,27438.945777182926,27191.105100867047
2023-10-17,28364.626025184327,28199.553635889224,27575.151958309736,27419.3995224027,27178.050152845535
2023-10-17,28364.346079380444,28006.455975363024,27465.236230042377,27402.516202994728,27163.90618312126
2023-10-17,28633.5,27811.48391309887,27349.180931218947,27392.838026690322,27150.15022459754
2023-10-16,28725.5,27592.34105595601,27221.480931218946,27367.04376154952,27131.678002375316
2023-10-16,28174.87468228932,27327.64001874472,27079.73099462193,27338.534665412666,27113.905444751876
2023-10-16,28102.528664370457,27141.322851076522,27001.760881847567,27337.76771247376,27102.169337170882
2023-10-15,27031.5,26959.850280730254,26921.019579063926,27323.46418953894,27089.212558018044
2023-10-15,27012.94240150094,26950.75028073025,26916.963901792064,27357.145656720408,27087.913847427157
2023-10-15,26999.54164353137,26924.016484721727,26950.73293189692,27381.893339283233,27085.99226518826
2023-10-14,27099.5,26886.87794933902,26985.958967734066,27405.446973166952,27085.11402470458
2023-10-14,26872.59273952096,26850.620806481882,27027.90837249597,27429.932687452667,27077.19235803791
2023-10-14,26870.654508611955,26831.82197049913,27090.3131768159,27458.00436374888,27073.1417190069
2023-10-13,26832.220671946543,26862.198912618605,27142.279333626455,27480.685181512912,27069.03434054837
2023-10-13,26967.8,26882.18887739759,27196.65778734638,27504.57934336934,27063.64855530452
2023-10-13,26825.805829441273,26883.17752285387,27263.64708649567,27539.716388187266,27059.02879963901
2023-10-12,26739.571895852416,26977.449379072114,27339.796175947075,27560.246303224336,27056.07145768029
2023-10-12,26845.7,27085.03998612911,27436.495122161698,27584.554902455846,27055.307695874515
2023-10-12,26741.000887641738,27205.19593851006,27512.606591880096,27618.501841231355,27049.067378414198
2023-10-11,27083.293103448275,27348.80438313267,27597.338336203404,27663.443474489683,27046.155358421154
2023-10-11,26972.15042539946,27422.35975463431,27673.774543099957,27704.597900126413,27039.509280481914
2023-10-11,26974.720518193943,27511.126697295163,27725.908800013953,27741.520200793388,27034.307866163617
2023-10-10,27485.70882296894,27644.116650137457,27797.327411648752,27774.35458704836,27028.30410877192
2023-10-10,27492.706145251395,27702.142972822036,27813.05374666955,27772.55252562663,27017.000000791842
2023-10-10,27686.791666666668,27787.950258194287,27824.93497859984,27767.86806144384,27004.489376955717
2023-10-09,27746.26,27820.017245250136,27831.957002409363,27741.82880578781,26986.803623594806
2023-10-09,27598.180703959773,27845.872289274146,27825.695550681856,27720.971305787807,26968.80032832637
2023-10-09,27593.519024025427,27925.189331565605,27819.091029399366,27698.597343130416,26951.887209393484
2023-10-08,27905.65018809,27940.690902732742,27812.5008993923,27673.191901796174,26935.571341449766
2023-10-08,27891.893081761005,27950.538173160043,27815.785689878867,27638.27566813542,26913.898310410004
2023-10-08,28093.35714285714,27923.964520517064,27780.696430501604,27604.42123725969,26892.185445902265
2023-10-07,27911.260576057604,27861.919699005393,27732.61468274999,27571.54206732248,26862.208568231446
2023-10-07,27927.245308168054,27843.896759568594,27724.397090582614,27528.786334300436,26833.753659890695
2023-10-07,28153.4,27805.518812089573,27729.548612775958,27479.849001865863,26809.990287016637
2023-10-06,27702.0300221954,27712.992727233126,27735.42125715286,27430.214276128303,26783.69292677205
2023-10-06,27974.58108108108,27684.310896051862,27757.131601572823,27382.63031473989,26763.192080639612
2023-10-06,27705.877513260144,27681.033206597698,27751.381762447978,27325.848741236645,26739.739252608328
2023-10-05,27659.04339227548,27637.428340486138,27732.05130458371,27275.88436576307,26720.300156514124
2023-10-05,27785.1,27603.309666494588,27710.801144287838,27240.79353032466,26701.81458446708
2023-10-05,27658.599675814905,27604.89742159663,27651.700609166255,27190.16495889609,26681.37178379867
2023-10-04,27505.717406004867,27653.578413462346,27616.247060893762,27138.5215220942,26662.779840829942
2023-10-04,27501.257203926536,27757.849787072595,27578.10365686147,27092.283220640868,26642.621340014968
2023-10-04,27951.63725490196,27829.95230709378,27533.88290420005,27045.050492864637,26622.27154350346
2023-10-03,27400.643450479234,27821.73031829826,27460.765646391967,26982.604169190065,26597.318423483284
2023-10-03,27420.212674334613,27826.674268681287,27428.146044017776,26948.83118881581,26578.641641321137
2023-10-03,27796.214285714286,27818.292622081095,27410.469451894976,26902.131629018142,26561.12415521799
2023-10-02,27999.366618874927,27698.503796735877,27333.175578018265,26854.06270852527,26538.852144073106
2023-10-02,28235.617021276597,27578.915708325174,27230.149390955772,26801.720249914655,26515.869182633814
2023-10-02,28005.974844074844,27398.35752665034,27125.007295103744,26745.89464201192,26490.25144576546
2023-10-01,27894.083333333332,27237.81350130632,27008.129027906958,26690.73807346766,26465.913092222727
2023-10-01,27435.251103160404,27099.80097448567,26900.31572002531,26643.36472806306,26442.985549849847
2023-10-01,27361.54114813328,27029.61781935427,26819.71742694243,26612.392988162454,26424.0051517185
2023-09-30,26957.692508297772,27002.646281708854,26770.78591636148,26587.177232871974,26406.544211174605
2023-09-30,27162.25,26967.84735930065,26728.62930862592,26574.525053805326,26394.119849971295
2023-09-30,26971.709749552774,26881.383073586363,26660.79598329464,26559.1723752339,26388.199636980524
2023-09-29,26882.166666666668,26851.657063557144,26606.462784420266,26545.004169892727,26384.411423005527
2023-09-29,26927.99564558879,26778.444554507605,26556.21808152922,26535.1408840768,26383.435497079605
2023-09-29,26943.96901724059,26700.83046556496,26504.442691988163,26528.453536567045,26387.65755028351
2023-09-29,27172.740384615383,26609.817034530588,26469.516333613836,26524.336785951313,26391.769139804634
2023-09-28,26714.100051440328,26538.925551014105,26393.793806141308,26502.403647215047,26394.88313553113
2023-09-28,26557,26489.4112579512,26374.949839032277,26503.765991888828,26398.96247551648
2023-09-28,26763.627679348258,26440.208893002917,26373.29110887355,26523.172659742642,26407.464327368336
2023-09-27,26369.67910331989,26361.268505283388,26366.781988920102,26535.00611744236,26412.3620742764
2023-09-27,26384.69702299026,26333.991608550838,26373.34711902836,26567.44614946665,26408.433996488144
2023-09-27,26306.875,26308.054918411366,26386.413736100814,26592.695139716998,26404.502477412454
2023-09-27,26676.5,26329.21563269708,26405.06854938248,26621.96066872577,26401.727314938656
2023-09-26,26367.5,26248.66206126851,26403.56854938248,26632.478525868624,26394.886588692014
2023-09-26,26212.583445362012,26260.488420113357,26420.420798984727,26659.56673350756,26391.06620105357
2023-09-26,26211.044965311547,26306.373324744178,26457.54876717315,26691.925360458914,26389.03211209877
2023-09-25,26178.740826192046,26372.295472556816,26483.545555365185,26717.83155957689,26386.713927860827
2023-09-25,26203.140192013965,26412.70262950588,26514.063686624377,26744.112817456473,26384.800763640727
2023-09-25,26455,26464.772553790262,26552.464381145932,26766.85781059883,26385.338459426217
2023-09-25,26112.625,26480.921466067874,26579.15723828879,26783.48281059883,26383.013183183124
2023-09-24,26450.284511913913,26558.475037496446,26611.01348828879,26793.265846313116,26381.864572072012
2023-09-24,26533.777777777777,26580.353177856097,26632.58214474537,26795.328371842275,26379.377138774882
2023-09-24,26672.5,26608.72420960213,26673.05421061173,26794.15739575535,26376.14994250471
